Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",9.296000,30.220000,180.000000,top
"C2","1u","C_0805_2012Metric",9.296000,32.760000,0.000000,top
"C3","1u","C_0805_2012Metric",3.454000,39.618000,180.000000,top
"C4","1u","C_0805_2012Metric",9.296000,19.298000,0.000000,top
"J1","Conn_01x13","PinHeader_1x13_P2.54mm_Vertical",30.368000,42.780000,-90.000000,top
"J2","Conn_02x13_Odd_Even","PinHeader_2x13_P2.54mm_Vertical",-0.082000,-0.420000,90.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",19.959000,36.062000,90.000000,top
"J5","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",2.946000,14.208000,0.000000,top
"Q1","2N7002","SOT-23",7.772000,9.138000,180.000000,top
"R1","470","R_0805_2012Metric",12.598000,5.836000,-90.000000,top
"R2","10K","R_0805_2012Metric",12.598000,10.408000,-90.000000,top
"R3","tune","R_0805_2012Metric",-3.178000,19.145600,-90.000000,top
"R4","tune","R_0805_2012Metric",-3.178000,23.717600,-90.000000,top
"R5","tune","R_0805_2012Metric",-3.178000,31.083600,-90.000000,top
"R6","tune","R_0805_2012Metric",-3.178000,35.401600,-90.000000,top
"RV1","5K","Potentiometer_Bourns_3296W_Vertical",3.708000,19.288000,-90.000000,top
"RV2","5K","Potentiometer_Bourns_3296W_Vertical",3.708000,30.210000,-90.000000,top
