Ref,Val,Package,PosX,PosY,Rot,Side
"C4","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-2.156000,22.701600,-90.000000,bottom
"D1","BAT54J","D_SOD-323F",-12.824000,16.097600,90.000000,bottom
"R1","tune","R_0805_2012Metric",-17.904000,16.097600,90.000000,bottom
"R2","tune","R_0805_2012Metric",-20.698000,16.097600,-90.000000,bottom
"R3","tune","R_0805_2012Metric",-23.238000,16.097600,90.000000,bottom
"R4","tune","R_0805_2012Metric",-25.778000,16.097600,-90.000000,bottom
"R5","tune","R_0805_2012Metric",-28.318000,16.097600,90.000000,bottom
"R6","tune","R_0805_2012Metric",-30.858000,16.097600,-90.000000,bottom
"R7","10k","R_0805_2012Metric",-15.364000,16.097600,90.000000,bottom
"U2","TCA9554PW","TSSOP-16_4.4x5mm_P0.65mm",-7.490000,24.479600,-90.000000,bottom
